Energy Use Record Name,Carbon Footprint Name,Organization Asset,Asset Contact,Allocated Renewable Energy (kWh),Cooling Consumption,Cooling Unit,Diesel Consumption,Diesel Unit,Electricity Consumption,Electricity Unit,Electricity Emission Factors,Heat Consumption,Heat Unit,Natural Gas Consumption,Natural Gas Unit,Fuel Oil Consumption,Fuel Oil Unit,Steam Consumption,Steam Unit,Emission Conversion Factors,Energy Contract,Energy Service Provider,Carbon Inventory Date,Record Type,Report End Date,Report Start Date,Refrigerant GWP Factor,Renewable Energy Project Type
140 Mission St - Oct2020,140 Mission St FY21,140 Mission St,Sonali Agarwhal,75900,1000,kWh,1000,Liters,189000,kWh,CAMX - eGRID2018,10000,Therms,12500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE SSH-Y22 FY21,Xcel Energy,12/21/20,Commercial Building,10/31/20,10/1/20,HCFC-142b - 2018 revision,Solar
140 Mission St - Sep2020,140 Mission St FY21,140 Mission St,Sonali Agarwhal,79400,1000,kWh,1000,Liters,149000,kWh,CAMX - eGRID2018,10000,Therms,12500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,L-Mass LLC SO-4 FY21,Xcel Energy,12/21/20,Commercial Building,9/30/20,9/1/20,HCFC-142b - 2018 revision,Solar
140 Mission St - Jul2020,140 Mission St FY21,140 Mission St,Sonali Agarwhal,85400,1000,kWh,1000,Liters,170000,kWh,CAMX - eGRID2018,1000,Therms,10500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,Blade4 W-REC-6 FY21,Xcel Energy,12/21/20,Commercial Building,7/31/20,7/1/20,HCFC-142b - 2018 revision,Solar
140 Mission St - Jun2020,140 Mission St FY21,140 Mission St,Sonali Agarwhal,91000,1000,kWh,1000,Liters,275000,kWh,CAMX - eGRID2018,1000,Therms,20500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE on-bill geothermal XP-992 FY21,Xcel Energy,12/21/20,Commercial Building,6/30/20,6/1/20,HCFC-142b - 2018 revision,Solar
140 Mission St - Aug2020,140 Mission St FY21,140 Mission St,Sonali Agarwhal,98000,1000,kWh,1000,Liters,170000,kWh,CAMX - eGRID2018,10000,Therms,10500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE PiperFarm SO-192 FY21,Xcel Energy,12/21/20,Commercial Building,8/31/20,8/1/20,HCFC-142b - 2018 revision,Solar
140 Mission St - Nov2020,140 Mission St FY21,140 Mission St,Sonali Agarwhal,50000,1000,kWh,1000,Liters,89000,kWh,CAMX - eGRID2018,10000,Therms,12500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE SSH-Y22 FY21,Xcel Energy,12/21/20,Commercial Building,11/30/20,11/1/20,HCFC-142b - 2018 revision,Solar
140 Mission St - Feb2020,140 Mission St FY21,140 Mission St,Sonali Agarwhal,75900,100,kWh,1000,Liters,250000,kWh,CAMX - eGRID2018,1000,Therms,500,Therms,1000,Liters,1000,Therms,GeneralConversionFactors,L-Mass LLC SO-4 FY21,Xcel Energy,12/21/20,Commercial Building,2/28/20,2/1/20,HCFC-142b - 2018 revision,Solar
140 Mission St - Apr2020,140 Mission St FY21,140 Mission St,Sonali Agarwhal,79400,100,kWh,1000,Liters,175000,kWh,CAMX - eGRID2018,1000,Therms,25500,Therms,1000,Liters,1000,Therms,GeneralConversionFactors,Blade4 W-REC-6 FY21,Xcel Energy,12/21/20,Commercial Building,4/30/20,4/1/20,HCFC-142b - 2018 revision,Solar
140 Mission St - Mar2020,140 Mission St FY21,140 Mission St,Sonali Agarwhal,85400,100,kWh,1000,Liters,150000,kWh,CAMX - eGRID2018,1000,Therms,500,Therms,1000,Liters,1000,Therms,GeneralConversionFactors,RE on-bill geothermal XP-992 FY21,Xcel Energy,12/21/20,Commercial Building,3/31/20,3/1/20,HCFC-142b - 2018 revision,Solar
140 Mission St - Dec2020,140 Mission St FY21,140 Mission St,Sonali Agarwhal,91000,1000,kWh,1000,Liters,129000,kWh,CAMX - eGRID2018,10000,Therms,52500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE PiperFarm SO-192 FY21,Xcel Energy,12/21/20,Commercial Building,12/31/20,12/1/20,HCFC-142b - 2018 revision,Solar
140 Mission St - Jan2020,140 Mission St FY21,140 Mission St,Sonali Agarwhal,98000,10,kWh,100,Liters,200000,kWh,CAMX - eGRID2018,100,Therms,1000,Therms,100,Liters,1000,Therms,GeneralConversionFactors,RE SSH-Y22 FY21,Xcel Energy,12/21/20,Commercial Building,1/31/20,1/1/20,HCFC-142b - 2018 revision,Solar
140 Mission St - May2020,140 Mission St FY21,140 Mission St,Sonali Agarwhal,102680,100,kWh,1000,Liters,175000,kWh,CAMX - eGRID2018,1000,Therms,20500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,L-Mass LLC SO-4 FY21,Xcel Energy,12/21/20,Commercial Building,5/31/20,5/1/20,HCFC-142b - 2018 revision,Solar
499 Centennial Pkwy - Oct2020,499 Centennial Pkwy FY21,499 Centennial Pkwy,Sonali Agarwhal,75900,1000,kWh,1000,Liters,189000,kWh,CAMX - eGRID2018,10000,Therms,12500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,Blade4 W-REC-6 FY21,Xcel Energy,12/21/20,Commercial Building,10/31/20,10/1/20,HCFC-142b - 2018 revision,Solar
499 Centennial Pkwy - Sep2020,499 Centennial Pkwy FY21,499 Centennial Pkwy,Sonali Agarwhal,79400,1000,kWh,1000,Liters,149000,kWh,CAMX - eGRID2018,10000,Therms,12500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE on-bill geothermal XP-992 FY21,Xcel Energy,12/21/20,Commercial Building,9/30/20,9/1/20,HCFC-142b - 2018 revision,Solar
499 Centennial Pkwy - Jul2020,499 Centennial Pkwy FY21,499 Centennial Pkwy,Sonali Agarwhal,85400,1000,kWh,1000,Liters,170000,kWh,CAMX - eGRID2018,1000,Therms,10500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE PiperFarm SO-192 FY21,Xcel Energy,12/21/20,Commercial Building,7/31/20,7/1/20,HCFC-142b - 2018 revision,Solar
499 Centennial Pkwy - Jun2020,499 Centennial Pkwy FY21,499 Centennial Pkwy,Sonali Agarwhal,91000,1000,kWh,1000,Liters,275000,kWh,CAMX - eGRID2018,1000,Therms,20500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE SSH-Y22 FY21,Xcel Energy,12/21/20,Commercial Building,6/30/20,6/1/20,HCFC-142b - 2018 revision,Solar
499 Centennial Pkwy - Aug2020,499 Centennial Pkwy FY21,499 Centennial Pkwy,Sonali Agarwhal,98000,1000,kWh,1000,Liters,170000,kWh,CAMX - eGRID2018,10000,Therms,10500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,L-Mass LLC SO-4 FY21,Xcel Energy,12/21/20,Commercial Building,8/31/20,8/1/20,HCFC-142b - 2018 revision,Solar
499 Centennial Pkwy - Nov2020,499 Centennial Pkwy FY21,499 Centennial Pkwy,Sonali Agarwhal,50000,1000,kWh,1000,Liters,89000,kWh,CAMX - eGRID2018,10000,Therms,12500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,Blade4 W-REC-6 FY21,Xcel Energy,12/21/20,Commercial Building,11/30/20,11/1/20,HCFC-142b - 2018 revision,Solar
499 Centennial Pkwy - Feb2020,499 Centennial Pkwy FY21,499 Centennial Pkwy,Sonali Agarwhal,108260,100,kWh,1000,Liters,250000,kWh,CAMX - eGRID2018,1000,Therms,500,Therms,1000,Liters,1000,Therms,GeneralConversionFactors,RE on-bill geothermal XP-992 FY21,Xcel Energy,12/21/20,Commercial Building,2/28/20,2/1/20,HCFC-142b - 2018 revision,Solar
499 Centennial Pkwy - Apr2020,499 Centennial Pkwy FY21,499 Centennial Pkwy,Sonali Agarwhal,113840,100,kWh,1000,Liters,175000,kWh,CAMX - eGRID2018,1000,Therms,25500,Therms,1000,Liters,1000,Therms,GeneralConversionFactors,RE PiperFarm SO-192 FY21,Xcel Energy,12/21/20,Commercial Building,4/30/20,4/1/20,HCFC-142b - 2018 revision,Solar
499 Centennial Pkwy - Mar2020,499 Centennial Pkwy FY21,499 Centennial Pkwy,Sonali Agarwhal,119420,100,kWh,1000,Liters,150000,kWh,CAMX - eGRID2018,1000,Therms,500,Therms,1000,Liters,1000,Therms,GeneralConversionFactors,RE SSH-Y22 FY21,Xcel Energy,12/21/20,Commercial Building,3/31/20,3/1/20,HCFC-142b - 2018 revision,Solar
499 Centennial Pkwy - Dec2020,499 Centennial Pkwy FY21,499 Centennial Pkwy,Sonali Agarwhal,91000,1000,kWh,1000,Liters,129000,kWh,CAMX - eGRID2018,10000,Therms,52500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,L-Mass LLC SO-4 FY21,Xcel Energy,12/21/20,Commercial Building,12/31/20,12/1/20,HCFC-142b - 2018 revision,Solar
499 Centennial Pkwy - Jan2020,499 Centennial Pkwy FY21,499 Centennial Pkwy,Sonali Agarwhal,98000,10,kWh,100,Liters,200000,kWh,CAMX - eGRID2018,100,Therms,1000,Therms,100,Liters,1000,Therms,GeneralConversionFactors,Blade4 W-REC-6 FY21,Xcel Energy,12/21/20,Commercial Building,1/31/20,1/1/20,HCFC-142b - 2018 revision,Solar
499 Centennial Pkwy - May2020,499 Centennial Pkwy FY21,499 Centennial Pkwy,Sonali Agarwhal,102680,100,kWh,1000,Liters,175000,kWh,CAMX - eGRID2018,1000,Therms,20500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE on-bill geothermal XP-992 FY21,Xcel Energy,12/21/20,Commercial Building,5/31/20,5/1/20,HCFC-142b - 2018 revision,Solar
940 14th St #290 - Oct2020,940 14th St #290 FY21,940 14th St #290,Sonali Agarwhal,125000,1000,kWh,1000,Liters,189000,kWh,CAMX - eGRID2018,10000,Therms,12500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE PiperFarm SO-192 FY21,Xcel Energy,12/21/20,Commercial Building,10/31/20,10/1/20,HCFC-142b - 2018 revision,Solar
940 14th St #290 - Sep2020,940 14th St #290 FY21,940 14th St #290,Sonali Agarwhal,130580,1000,kWh,1000,Liters,149000,kWh,CAMX - eGRID2018,10000,Therms,12500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE SSH-Y22 FY21,Xcel Energy,12/21/20,Commercial Building,9/30/20,9/1/20,HCFC-142b - 2018 revision,Solar
940 14th St #290 - Jul2020,940 14th St #290 FY21,940 14th St #290,Sonali Agarwhal,136160,1000,kWh,1000,Liters,170000,kWh,CAMX - eGRID2018,1000,Therms,10500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,L-Mass LLC SO-4 FY21,Xcel Energy,12/21/20,Commercial Building,7/31/20,7/1/20,HCFC-142b - 2018 revision,Solar
940 14th St #290 - Jun2020,940 14th St #290 FY21,940 14th St #290,Sonali Agarwhal,91000,1000,kWh,1000,Liters,275000,kWh,CAMX - eGRID2018,1000,Therms,20500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,Blade4 W-REC-6 FY21,Xcel Energy,12/21/20,Commercial Building,6/30/20,6/1/20,HCFC-142b - 2018 revision,Solar
940 14th St #290 - Aug2020,940 14th St #290 FY21,940 14th St #290,Sonali Agarwhal,98000,1000,kWh,1000,Liters,170000,kWh,CAMX - eGRID2018,10000,Therms,10500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE on-bill geothermal XP-992 FY21,Xcel Energy,12/21/20,Commercial Building,8/31/20,8/1/20,HCFC-142b - 2018 revision,Solar
940 14th St #290 - Nov2020,940 14th St #290 FY21,940 14th St #290,Sonali Agarwhal,50000,1000,kWh,1000,Liters,89000,kWh,CAMX - eGRID2018,10000,Therms,12500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE PiperFarm SO-192 FY21,Xcel Energy,12/21/20,Commercial Building,11/30/20,11/1/20,HCFC-142b - 2018 revision,Solar
940 14th St #290 - Feb2020,940 14th St #290 FY21,940 14th St #290,Sonali Agarwhal,75900,100,kWh,1000,Liters,250000,kWh,CAMX - eGRID2018,1000,Therms,500,Therms,1000,Liters,1000,Therms,GeneralConversionFactors,RE SSH-Y22 FY21,Xcel Energy,12/21/20,Commercial Building,2/28/20,2/1/20,HCFC-142b - 2018 revision,Solar
940 14th St #290 - Apr2020,940 14th St #290 FY21,940 14th St #290,Sonali Agarwhal,79400,100,kWh,1000,Liters,175000,kWh,CAMX - eGRID2018,1000,Therms,25500,Therms,1000,Liters,1000,Therms,GeneralConversionFactors,L-Mass LLC SO-4 FY21,Xcel Energy,12/21/20,Commercial Building,4/30/20,4/1/20,HCFC-142b - 2018 revision,Solar
940 14th St #290 - Mar2020,940 14th St #290 FY21,940 14th St #290,Sonali Agarwhal,85400,100,kWh,1000,Liters,150000,kWh,CAMX - eGRID2018,1000,Therms,500,Therms,1000,Liters,1000,Therms,GeneralConversionFactors,Blade4 W-REC-6 FY21,Xcel Energy,12/21/20,Commercial Building,3/31/20,3/1/20,HCFC-142b - 2018 revision,Solar
940 14th St #290 - Dec2020,940 14th St #290 FY21,940 14th St #290,Sonali Agarwhal,91000,1000,kWh,1000,Liters,129000,kWh,CAMX - eGRID2018,10000,Therms,52500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE on-bill geothermal XP-992 FY21,Xcel Energy,12/21/20,Commercial Building,12/31/20,12/1/20,HCFC-142b - 2018 revision,Solar
940 14th St #290 - Jan2020,940 14th St #290 FY21,940 14th St #290,Sonali Agarwhal,98000,10,kWh,100,Liters,200000,kWh,CAMX - eGRID2018,100,Therms,1000,Therms,100,Liters,1000,Therms,GeneralConversionFactors,RE PiperFarm SO-192 FY21,Xcel Energy,12/21/20,Commercial Building,1/31/20,1/1/20,HCFC-142b - 2018 revision,Solar
940 14th St #290 - May2020,940 14th St #290 FY21,940 14th St #290,Sonali Agarwhal,102680,100,kWh,1000,Liters,175000,kWh,CAMX - eGRID2018,1000,Therms,20500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE SSH-Y22 FY21,Xcel Energy,12/21/20,Commercial Building,5/31/20,5/1/20,HCFC-142b - 2018 revision,Solar
Longs Tower East - Oct2020,Longs Tower East FY21,Longs Tower East,Sonali Agarwhal,125000,1000,kWh,1000,Liters,189000,kWh,CAMX - eGRID2018,10000,Therms,12500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,L-Mass LLC SO-4 FY21,Xcel Energy,12/21/20,Commercial Building,10/31/20,10/1/20,HCFC-142b - 2018 revision,Solar
Longs Tower East - Sep2020,Longs Tower East FY21,Longs Tower East,Sonali Agarwhal,130580,1000,kWh,1000,Liters,149000,kWh,CAMX - eGRID2018,10000,Therms,12500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,Blade4 W-REC-6 FY21,Xcel Energy,12/21/20,Commercial Building,9/30/20,9/1/20,HCFC-142b - 2018 revision,Solar
Longs Tower East - Jul2020,Longs Tower East FY21,Longs Tower East,Sonali Agarwhal,136160,1000,kWh,1000,Liters,170000,kWh,CAMX - eGRID2018,1000,Therms,10500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE on-bill geothermal XP-992 FY21,Xcel Energy,12/21/20,Commercial Building,7/31/20,7/1/20,HCFC-142b - 2018 revision,Solar
Longs Tower East - Jun2020,Longs Tower East FY21,Longs Tower East,Sonali Agarwhal,91000,1000,kWh,1000,Liters,275000,kWh,CAMX - eGRID2018,1000,Therms,20500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE PiperFarm SO-192 FY21,Xcel Energy,12/21/20,Commercial Building,6/30/20,6/1/20,HCFC-142b - 2018 revision,Solar
Longs Tower East - Aug2020,Longs Tower East FY21,Longs Tower East,Sonali Agarwhal,98000,1000,kWh,1000,Liters,170000,kWh,CAMX - eGRID2018,10000,Therms,10500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE SSH-Y22 FY21,Xcel Energy,12/21/20,Commercial Building,8/31/20,8/1/20,HCFC-142b - 2018 revision,Solar
Longs Tower East - Nov2020,Longs Tower East FY21,Longs Tower East,Sonali Agarwhal,50000,1000,kWh,1000,Liters,89000,kWh,CAMX - eGRID2018,10000,Therms,12500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,L-Mass LLC SO-4 FY21,Xcel Energy,12/21/20,Commercial Building,11/30/20,11/1/20,HCFC-142b - 2018 revision,Solar
Longs Tower East - Feb2020,Longs Tower East FY21,Longs Tower East,Sonali Agarwhal,108260,100,kWh,1000,Liters,250000,kWh,CAMX - eGRID2018,1000,Therms,500,Therms,1000,Liters,1000,Therms,GeneralConversionFactors,Blade4 W-REC-6 FY21,Xcel Energy,12/21/20,Commercial Building,2/28/20,2/1/20,HCFC-142b - 2018 revision,Solar
Longs Tower East - Apr2020,Longs Tower East FY21,Longs Tower East,Sonali Agarwhal,125000,100,kWh,1000,Liters,175000,kWh,CAMX - eGRID2018,1000,Therms,25500,Therms,1000,Liters,1000,Therms,GeneralConversionFactors,RE on-bill geothermal XP-992 FY21,Xcel Energy,12/21/20,Commercial Building,4/30/20,4/1/20,HCFC-142b - 2018 revision,Solar
Longs Tower East - Mar2020,Longs Tower East FY21,Longs Tower East,Sonali Agarwhal,130580,100,kWh,1000,Liters,150000,kWh,CAMX - eGRID2018,1000,Therms,500,Therms,1000,Liters,1000,Therms,GeneralConversionFactors,RE PiperFarm SO-192 FY21,Xcel Energy,12/21/20,Commercial Building,3/31/20,3/1/20,HCFC-142b - 2018 revision,Solar
Longs Tower East - Dec2020,Longs Tower East FY21,Longs Tower East,Sonali Agarwhal,50000,1000,kWh,1000,Liters,129000,kWh,CAMX - eGRID2018,10000,Therms,52500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE SSH-Y22 FY21,Xcel Energy,12/21/20,Commercial Building,12/31/20,12/1/20,HCFC-142b - 2018 revision,Solar
Longs Tower East - Jan2020,Longs Tower East FY21,Longs Tower East,Sonali Agarwhal,130580,10,kWh,100,Liters,200000,kWh,CAMX - eGRID2018,100,Therms,1000,Therms,100,Liters,1000,Therms,GeneralConversionFactors,L-Mass LLC SO-4 FY21,Xcel Energy,12/21/20,Commercial Building,1/31/20,1/1/20,HCFC-142b - 2018 revision,Solar
Longs Tower East - May2020,Longs Tower East FY21,Longs Tower East,Sonali Agarwhal,136160,100,kWh,1000,Liters,175000,kWh,CAMX - eGRID2018,1000,Therms,20500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,Blade4 W-REC-6 FY21,Xcel Energy,12/21/20,Commercial Building,5/31/20,5/1/20,HCFC-142b - 2018 revision,Solar
WMDV Square North - Oct2020,WMDV Square North FY21,WMDV Square North,Bobby Bonilla,75900,1000,kWh,1000,Liters,189000,kWh,CAMX - eGRID2018,10000,Therms,12500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE on-bill geothermal XP-992 FY21,Xcel Energy,12/21/20,Commercial Building,10/31/20,10/1/20,HCFC-142b - 2018 revision,Solar
WMDV Square North - Sep2020,WMDV Square North FY21,WMDV Square North,Bobby Bonilla,79400,1000,kWh,1000,Liters,149000,kWh,CAMX - eGRID2018,10000,Therms,12500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE PiperFarm SO-192 FY21,Xcel Energy,12/21/20,Commercial Building,9/30/20,9/1/20,HCFC-142b - 2018 revision,Solar
WMDV Square North - Jul2020,WMDV Square North FY21,WMDV Square North,Bobby Bonilla,85400,1000,kWh,1000,Liters,170000,kWh,CAMX - eGRID2018,1000,Therms,10500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE SSH-Y22 FY21,Xcel Energy,12/21/20,Commercial Building,7/31/20,7/1/20,HCFC-142b - 2018 revision,Solar
WMDV Square North - Jun2020,WMDV Square North FY21,WMDV Square North,Bobby Bonilla,91000,1000,kWh,1000,Liters,275000,kWh,CAMX - eGRID2018,1000,Therms,20500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,L-Mass LLC SO-4 FY21,Xcel Energy,12/21/20,Commercial Building,6/30/20,6/1/20,HCFC-142b - 2018 revision,Solar
WMDV Square North - Aug2020,WMDV Square North FY21,WMDV Square North,Bobby Bonilla,98000,1000,kWh,1000,Liters,170000,kWh,CAMX - eGRID2018,10000,Therms,10500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,Blade4 W-REC-6 FY21,Xcel Energy,12/21/20,Commercial Building,8/31/20,8/1/20,HCFC-142b - 2018 revision,Solar
WMDV Square North - Nov2020,WMDV Square North FY21,WMDV Square North,Bobby Bonilla,50000,1000,kWh,1000,Liters,89000,kWh,CAMX - eGRID2018,10000,Therms,12500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE on-bill geothermal XP-992 FY21,Xcel Energy,12/21/20,Commercial Building,11/30/20,11/1/20,HCFC-142b - 2018 revision,Solar
WMDV Square North - Feb2020,WMDV Square North FY21,WMDV Square North,Bobby Bonilla,102680,100,kWh,1000,Liters,250000,kWh,CAMX - eGRID2018,1000,Therms,500,Therms,1000,Liters,1000,Therms,GeneralConversionFactors,RE PiperFarm SO-192 FY21,Xcel Energy,12/21/20,Commercial Building,2/28/20,2/1/20,HCFC-142b - 2018 revision,Solar
WMDV Square North - Apr2020,WMDV Square North FY21,WMDV Square North,Bobby Bonilla,75900,100,kWh,1000,Liters,175000,kWh,CAMX - eGRID2018,1000,Therms,25500,Therms,1000,Liters,1000,Therms,GeneralConversionFactors,RE SSH-Y22 FY21,Xcel Energy,12/21/20,Commercial Building,4/30/20,4/1/20,HCFC-142b - 2018 revision,Solar
WMDV Square North - Mar2020,WMDV Square North FY21,WMDV Square North,Bobby Bonilla,79400,100,kWh,1000,Liters,150000,kWh,CAMX - eGRID2018,1000,Therms,500,Therms,1000,Liters,1000,Therms,GeneralConversionFactors,L-Mass LLC SO-4 FY21,Xcel Energy,12/21/20,Commercial Building,3/31/20,3/1/20,HCFC-142b - 2018 revision,Solar
WMDV Square North - Dec2020,WMDV Square North FY21,WMDV Square North,Bobby Bonilla,85400,1000,kWh,1000,Liters,129000,kWh,CAMX - eGRID2018,10000,Therms,52500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,Blade4 W-REC-6 FY21,Xcel Energy,12/21/20,Commercial Building,12/31/20,12/1/20,HCFC-142b - 2018 revision,Solar
WMDV Square North - Jan2020,WMDV Square North FY21,WMDV Square North,Bobby Bonilla,91000,10,kWh,100,Liters,200000,kWh,CAMX - eGRID2018,100,Therms,1000,Therms,100,Liters,1000,Therms,GeneralConversionFactors,RE on-bill geothermal XP-992 FY21,Xcel Energy,12/21/20,Commercial Building,1/31/20,1/1/20,HCFC-142b - 2018 revision,Solar
WMDV Square North - May2020,WMDV Square North FY21,WMDV Square North,Bobby Bonilla,136160,100,kWh,1000,Liters,175000,kWh,CAMX - eGRID2018,1000,Therms,20500,Therms,1000,Liters,5000,Therms,GeneralConversionFactors,RE PiperFarm SO-192 FY21,Xcel Energy,12/21/20,Commercial Building,5/31/20,5/1/20,HCFC-142b - 2018 revision,Solar
Wolf Point Plaza - 2020 1-Jan,Wolf Point Plaza FY21,Wolf Point Plaza,Bobby Bonilla,,10,kWh,1000,Liters,200000,kWh,,1000,Therms,12500,Therms,1000,Liters,1000,Therms,GeneralConversionFactors,RE SSH-Y22 FY21,Xcel Energy,1/21/21,Commercial Building,2020-01-31,2020-01-01,HCFC-142b - 2018 revision,Wind
Wolf Point Plaza - 2020 2-Feb,Wolf Point Plaza FY21,Wolf Point Plaza,Bobby Bonilla,,100,kWh,1000,Liters,200000,kWh,,1000,Therms,12500,Therms,1000,Liters,1000,Therms,GeneralConversionFactors,RE SSH-Y22 FY21,Xcel Energy,1/21/21,Commercial Building,2020-02-29,2020-02-01,HCFC-142b - 2018 revision,Wind
Wolf Point Plaza - 2020 3-Mar,Wolf Point Plaza FY21,Wolf Point Plaza,Bobby Bonilla,,100,kWh,1000,Liters,150000,kWh,,1000,Therms,10500,Therms,1000,Liters,1000,Therms,GeneralConversionFactors,RE SSH-Y22 FY21,Xcel Energy,1/21/21,Commercial Building,2020-03-31,2020-03-01,HCFC-142b - 2018 revision,Wind
Wolf Point Plaza - 2020 4-Apr,Wolf Point Plaza FY21,Wolf Point Plaza,Bobby Bonilla,,100,kWh,1000,Liters,95000,kWh,,1000,Therms,9050,Therms,1000,Liters,1000,Therms,GeneralConversionFactors,RE SSH-Y22 FY21,Xcel Energy,1/21/21,Commercial Building,2020-04-30,2020-04-01,HCFC-142b - 2018 revision,Wind
Wolf Point Plaza - 2020 7-Jul,Wolf Point Plaza FY21,Wolf Point Plaza,Bobby Bonilla,,1000,kWh,1000,Liters,,kWh,,1000,Therms,600,Therms,1000,Liters,1000,Therms,GeneralConversionFactors,RE SSH-Y22 FY21,Xcel Energy,1/21/21,Commercial Building,2020-07-31,2020-07-01,HCFC-142b - 2018 revision,Wind
Wolf Point Plaza - 2020 8-Aug,Wolf Point Plaza FY21,Wolf Point Plaza,Bobby Bonilla,,1000,kWh,1000,Liters,92000,kWh,,1000,Therms,600,Therms,1000,Liters,1000,Therms,GeneralConversionFactors,RE SSH-Y22 FY21,Xcel Energy,1/21/21,Commercial Building,2020-08-31,2020-08-01,HCFC-142b - 2018 revision,Wind
Wolf Point Plaza - 2020 9-Sep,Wolf Point Plaza FY21,Wolf Point Plaza,Bobby Bonilla,,1000,kWh,1000,Liters,85000,kWh,,1000,Therms,600,Therms,1000,Liters,1000,Therms,GeneralConversionFactors,RE SSH-Y22 FY21,Xcel Energy,1/21/21,Commercial Building,2020-09-30,2020-09-01,HCFC-142b - 2018 revision,Wind
Wolf Point Plaza - 2020 10-Oct,Wolf Point Plaza FY21,Wolf Point Plaza,Bobby Bonilla,,100,kWh,1000,Liters,95000,kWh,,1000,Therms,6050,Therms,1000,Liters,1000,Therms,GeneralConversionFactors,RE SSH-Y22 FY21,Xcel Energy,1/21/21,Commercial Building,2020-10-31,2020-10-01,HCFC-142b - 2018 revision,Wind
Wolf Point Plaza - 2020 11-Nov,Wolf Point Plaza FY21,Wolf Point Plaza,Bobby Bonilla,,100,kWh,1000,Liters,150000,kWh,,1000,Therms,10500,Therms,1000,Liters,1000,Therms,GeneralConversionFactors,RE SSH-Y22 FY21,Xcel Energy,1/21/21,Commercial Building,2020-11-30,2020-11-01,HCFC-142b - 2018 revision,Wind
Wolf Point Plaza - 2020 12-Dec,Wolf Point Plaza FY21,Wolf Point Plaza,Bobby Bonilla,,10,kWh,1000,Liters,200000,kWh,,1000,Therms,10500,Therms,1000,Liters,1000,Therms,GeneralConversionFactors,RE SSH-Y22 FY21,Xcel Energy,1/21/21,Commercial Building,2020-12-31,2020-12-01,HCFC-142b - 2018 revision,Wind
